# Time-averaged data for fix Fdensity
# TimeStep v_qTemp v_rho v_qmass v_Volume
10 4999.32 14.8074 91386.9 10252
20 4995.99 14.8026 91386.9 10255.4
30 4989.81 14.7932 91386.9 10261.8
40 4982.91 14.7793 91386.9 10271.5
50 4977.94 14.7608 91386.9 10284.3
60 4972.14 14.7376 91386.9 10300.5
70 4966.12 14.7097 91386.9 10320.1
80 4960.94 14.677 91386.9 10343.1
90 4955.27 14.6398 91386.9 10369.4
100 4949.6 14.598 91386.9 10399.1
110 4944.81 14.5518 91386.9 10432
120 4939.97 14.5015 91386.9 10468.3
130 4934.08 14.4471 91386.9 10507.7
140 4929.21 14.3889 91386.9 10550.2
150 4924.4 14.3272 91386.9 10595.6
160 4920.7 14.2623 91386.9 10643.9
170 4920.56 14.1944 91386.9 10694.8
180 4926.84 14.124 91386.9 10748.1
190 4938.11 14.0514 91386.9 10803.6
200 4948.68 13.9772 91386.9 10861
210 4958.8 13.9016 91386.9 10920
220 4974.06 13.8252 91386.9 10980.3
230 4995.43 13.7484 91386.9 11041.7
240 5018.6 13.6716 91386.9 11103.7
250 5040.7 13.5951 91386.9 11166.2
260 5062.26 13.5193 91386.9 11228.8
270 5083.96 13.4444 91386.9 11291.3
280 5101.43 13.3707 91386.9 11353.6
290 5111.36 13.2982 91386.9 11415.5
300 5117.03 13.2272 91386.9 11476.8
310 5120.94 13.1576 91386.9 11537.5
320 5121.32 13.0894 91386.9 11597.6
330 5119.76 13.0227 91386.9 11657
340 5116.43 12.9573 91386.9 11715.9
350 5110.14 12.8931 91386.9 11774.2
360 5102.41 12.8301 91386.9 11832
370 5092.7 12.768 91386.9 11889.5
380 5078.84 12.7068 91386.9 11946.8
390 5062.24 12.6463 91386.9 12004
400 5043.57 12.5863 91386.9 12061.2
410 5025.62 12.5267 91386.9 12118.5
420 5010.34 12.4675 91386.9 12176.1
430 4995.16 12.4085 91386.9 12234
440 4977.21 12.3497 91386.9 12292.2
450 4957.8 12.291 91386.9 12351
460 4939.75 12.2323 91386.9 12410.2
470 4923.91 12.1736 91386.9 12470
480 4912.55 12.115 91386.9 12530.4
490 4908.1 12.0563 91386.9 12591.3
500 4906.8 11.9977 91386.9 12652.9
510 4906.58 11.9391 91386.9 12715
520 4909.92 11.8806 91386.9 12777.6
530 4919.04 11.8222 91386.9 12840.7
540 4929.64 11.764 91386.9 12904.3
550 4941.18 11.7059 91386.9 12968.2
560 4958.92 11.6482 91386.9 13032.6
570 4983.81 11.5907 91386.9 13097.2
580 5010.57 11.5336 91386.9 13162.1
590 5031.52 11.4768 91386.9 13227.2
600 5047.35 11.4203 91386.9 13292.6
610 5059.43 11.3643 91386.9 13358.1
620 5069.03 11.3087 91386.9 13423.8
630 5079.67 11.2535 91386.9 13489.6
640 5090.24 11.1988 91386.9 13555.5
650 5092.89 11.1446 91386.9 13621.5
660 5089.84 11.0909 91386.9 13687.4
670 5089.15 11.0377 91386.9 13753.3
680 5090.55 10.9851 91386.9 13819.2
690 5093.05 10.9331 91386.9 13885
700 5094.24 10.8816 91386.9 13950.7
710 5089.74 10.8307 91386.9 14016.3
720 5081.57 10.7803 91386.9 14081.8
730 5072.4 10.7304 91386.9 14147.2
740 5062.27 10.6811 91386.9 14212.6
750 5052.54 10.6322 91386.9 14277.9
760 5047.02 10.5839 91386.9 14343.1
770 5042.8 10.536 91386.9 14408.2
780 5034.07 10.4886 91386.9 14473.3
790 5020.35 10.4417 91386.9 14538.4
800 5005.49 10.3952 91386.9 14603.4
810 4992.63 10.3491 91386.9 14668.4
820 4980.02 10.3036 91386.9 14733.3
830 4968.15 10.2584 91386.9 14798.1
840 4956.37 10.2137 91386.9 14862.9
850 4944.62 10.1694 91386.9 14927.7
860 4935.78 10.1255 91386.9 14992.5
870 4929.24 10.0819 91386.9 15057.2
880 4925.43 10.0387 91386.9 15122
890 4925.69 9.9959 91386.9 15186.8
900 4928.63 9.95342 91386.9 15251.6
910 4933.41 9.91127 91386.9 15316.5
920 4940.27 9.86943 91386.9 15381.4
930 4948.72 9.82788 91386.9 15446.4
940 4960.17 9.78659 91386.9 15511.6
950 4976 9.74555 91386.9 15576.9
960 4994.39 9.70473 91386.9 15642.4
970 5013.84 9.66411 91386.9 15708.2
980 5034.04 9.62367 91386.9 15774.2
990 5053.86 9.5834 91386.9 15840.5
1000 5071.56 9.54329 91386.9 15907
1010 5087.27 9.50331 91386.9 15974
1020 5101.26 9.46346 91386.9 16041.2
1030 5112.19 9.42374 91386.9 16108.8
1040 5120.04 9.38416 91386.9 16176.8
1050 5127.35 9.34473 91386.9 16245
1060 5130.51 9.30544 91386.9 16313.6
1070 5128.04 9.2663 91386.9 16382.5
1080 5120.77 9.22731 91386.9 16451.8
1090 5110.55 9.18849 91386.9 16521.3
1100 5100.11 9.14986 91386.9 16591
1110 5089.86 9.11141 91386.9 16661
1120 5079.02 9.07315 91386.9 16731.3
1130 5066.67 9.0351 91386.9 16801.8
1140 5051.95 8.99725 91386.9 16872.4
1150 5034.64 8.9596 91386.9 16943.3
1160 5016.34 8.92217 91386.9 17014.4
1170 4997.31 8.88496 91386.9 17085.7
1180 4977.02 8.84799 91386.9 17157.1
1190 4956.49 8.81125 91386.9 17228.6
1200 4936.95 8.77476 91386.9 17300.3
1210 4918.02 8.7385 91386.9 17372
1220 4901.41 8.70249 91386.9 17443.9
1230 4886.99 8.66672 91386.9 17515.9
1240 4874.68 8.63118 91386.9 17588
1250 4864.92 8.59588 91386.9 17660.3
1260 4858.88 8.56082 91386.9 17732.6
1270 4858.35 8.52598 91386.9 17805.1
1280 4862.82 8.49136 91386.9 17877.6
1290 4869.98 8.45696 91386.9 17950.4
1300 4878.75 8.42278 91386.9 18023.2
1310 4890.59 8.38879 91386.9 18096.2
1320 4907.29 8.355 91386.9 18169.4
1330 4927.22 8.32138 91386.9 18242.8
1340 4950.22 8.28791 91386.9 18316.5
1350 4974.64 8.25459 91386.9 18390.4
1360 4997.04 8.22139 91386.9 18464.7
1370 5017.55 8.18831 91386.9 18539.3
1380 5037.07 8.15533 91386.9 18614.3
1390 5056.54 8.12244 91386.9 18689.6
1400 5074.36 8.08963 91386.9 18765.4
1410 5089.44 8.0569 91386.9 18841.7
1420 5100.08 8.02426 91386.9 18918.3
1430 5107.09 7.99171 91386.9 18995.4
1440 5111.12 7.95925 91386.9 19072.8
1450 5110.06 7.9269 91386.9 19150.7
1460 5105.04 7.89466 91386.9 19228.9
1470 5100.32 7.86254 91386.9 19307.4
1480 5094.21 7.83054 91386.9 19386.3
1490 5086.49 7.79866 91386.9 19465.6
1500 5076.38 7.7669 91386.9 19545.2
1510 5064.23 7.73528 91386.9 19625.1
1520 5050.94 7.7038 91386.9 19705.3
1530 5038.33 7.67246 91386.9 19785.8
1540 5026.06 7.64128 91386.9 19866.5
1550 5013.76 7.61026 91386.9 19947.5
1560 5001.22 7.57942 91386.9 20028.6
1570 4988.7 7.54875 91386.9 20110
1580 4975.22 7.51826 91386.9 20191.6
1590 4960.78 7.48795 91386.9 20273.3
1600 4945.98 7.4578 91386.9 20355.3
1610 4930.87 7.42782 91386.9 20437.4
1620 4917.75 7.398 91386.9 20519.8
1630 4907.81 7.36835 91386.9 20602.4
1640 4900.65 7.33887 91386.9 20685.1
1650 4896.16 7.30956 91386.9 20768.1
1660 4895.97 7.28041 91386.9 20851.2
1670 4900.26 7.25141 91386.9 20934.6
1680 4907.24 7.22258 91386.9 21018.2
1690 4916.31 7.19391 91386.9 21102
1700 4926.27 7.16538 91386.9 21186
1710 4937.45 7.13699 91386.9 21270.2
1720 4950.61 7.10874 91386.9 21354.8
1730 4967.2 7.08061 91386.9 21439.6
1740 4986.9 7.05258 91386.9 21524.8
1750 5007.35 7.02462 91386.9 21610.5
1760 5027.05 6.99675 91386.9 21696.6
1770 5044.42 6.96895 91386.9 21783.1
1780 5059.25 6.94122 91386.9 21870.1
1790 5072.21 6.91359 91386.9 21957.6
1800 5083.57 6.88603 91386.9 22045.4
1810 5092.19 6.85855 91386.9 22133.8
1820 5098.73 6.83115 91386.9 22222.6
1830 5103.7 6.80381 91386.9 22311.8
1840 5108.26 6.77656 91386.9 22401.6
1850 5111.56 6.74939 91386.9 22491.7
1860 5111.04 6.72231 91386.9 22582.4
1870 5106.23 6.69532 91386.9 22673.4
1880 5098.28 6.66844 91386.9 22764.8
1890 5088.1 6.64168 91386.9 22856.5
1900 5077.54 6.61505 91386.9 22948.5
1910 5065.89 6.58854 91386.9 23040.8
1920 5051.42 6.56216 91386.9 23133.5
1930 5035.07 6.5359 91386.9 23226.4
1940 5018.92 6.50976 91386.9 23319.7
1950 5003.04 6.48374 91386.9 23413.2
1960 4987.32 6.45785 91386.9 23507.1
1970 4972.62 6.4321 91386.9 23601.3
1980 4958.99 6.40647 91386.9 23695.7
1990 4946.92 6.38098 91386.9 23790.3
2000 4934.63 6.35563 91386.9 23885.2
2010 4922.19 6.33043 91386.9 23980.3
2020 4912.13 6.30537 91386.9 24075.6
2030 4905.1 6.28046 91386.9 24171.1
2040 4900.52 6.25568 91386.9 24266.8
2050 4899.14 6.23104 91386.9 24362.8
2060 4901.63 6.20654 91386.9 24459
2070 4908.39 6.18216 91386.9 24555.4
2080 4917.53 6.15791 91386.9 24652.1
2090 4929.74 6.13377 91386.9 24749.1
2100 4944.08 6.10975 91386.9 24846.4
2110 4960.49 6.08584 91386.9 24944
2120 4977.42 6.06204 91386.9 25042
2130 4994.85 6.03832 91386.9 25140.3
2140 5012.61 6.01469 91386.9 25239.1
2150 5030.75 5.99112 91386.9 25338.4
2160 5048.59 5.96762 91386.9 25438.2
2170 5065.73 5.94419 91386.9 25538.5
2180 5081.63 5.92081 91386.9 25639.3
2190 5095.05 5.89749 91386.9 25740.7
2200 5106.05 5.87421 91386.9 25842.7
2210 5115.53 5.85099 91386.9 25945.2
2220 5121.32 5.82784 91386.9 26048.3
2230 5122.57 5.80475 91386.9 26151.9
2240 5121.34 5.78174 91386.9 26256
