# Time-averaged data for fix Fdensity
# TimeStep v_qTemp v_rho v_qmass v_Volume
1000 0.0316252 40.5477 38553.8 1579.45
1100 0.0593438 40.5477 38553.8 1579.45
1200 0.0699835 40.5477 38553.8 1579.45
1300 0.104962 40.5477 38553.8 1579.45
1400 0.0815777 40.5477 38553.8 1579.45
1500 0.101675 40.5477 38553.8 1579.45
1600 0.121062 40.5477 38553.8 1579.45
1700 0.0939407 40.5477 38553.8 1579.45
1800 0.0887718 40.5477 38553.8 1579.45
1900 0.109683 40.5477 38553.8 1579.45
2000 0.0994136 40.5477 38553.8 1579.45
2100 0.0990637 40.5477 38553.8 1579.45
2200 0.0939396 40.5477 38553.8 1579.45
2300 0.113326 40.5477 38553.8 1579.45
2400 0.0927205 40.5477 38553.8 1579.45
2500 0.095546 40.5477 38553.8 1579.45
2600 0.107052 40.5477 38553.8 1579.45
2700 0.0939373 40.5477 38553.8 1579.45
2800 0.103338 40.5477 38553.8 1579.45
2900 0.0985876 40.5477 38553.8 1579.45
3000 0.0895602 40.5477 38553.8 1579.45
3100 0.114327 40.5477 38553.8 1579.45
3200 0.0899276 40.5477 38553.8 1579.45
3300 0.106602 40.5477 38553.8 1579.45
3400 0.0927655 40.5477 38553.8 1579.45
3500 0.107518 40.5477 38553.8 1579.45
3600 0.0851532 40.5477 38553.8 1579.45
3700 0.104725 40.5477 38553.8 1579.45
3800 0.113313 40.5477 38553.8 1579.45
3900 0.103295 40.5477 38553.8 1579.45
4000 0.092866 40.4639 38553.8 1582.72
4100 0.15822 40.4488 38553.8 1583.31
4200 0.208893 40.5347 38553.8 1579.95
4300 0.203497 40.416 38553.8 1584.59
4400 0.373391 40.5148 38553.8 1580.73
4500 0.480814 40.4772 38553.8 1582.2
4600 0.595679 40.4349 38553.8 1583.85
4700 0.823536 40.5381 38553.8 1579.82
4800 1.25726 40.4145 38553.8 1584.65
4900 1.15655 40.4998 38553.8 1581.31
5000 2.36705 40.4863 38553.8 1581.84
5100 2.72834 40.4101 38553.8 1584.83
5200 3.58346 40.5392 38553.8 1579.78
5300 5.31094 40.3964 38553.8 1585.36
5400 5.85912 40.4657 38553.8 1582.65
5500 9.79863 40.4865 38553.8 1581.83
5600 11.8714 40.3331 38553.8 1587.85
5700 16.0152 40.5061 38553.8 1581.07
5800 19.3982 40.3648 38553.8 1586.61
5900 27.8394 40.2885 38553.8 1589.61
6000 43.4658 40.4209 38553.8 1584.4
6100 47.667 40.1552 38553.8 1594.89
6200 50.2047 40.1996 38553.8 1593.12
6300 84.7027 40.0293 38553.8 1599.9
6400 98.9414 39.7648 38553.8 1610.54
6500 139.382 39.3592 38553.8 1627.15
6600 228.292 38.5315 38553.8 1662.12
6700 377.843 37.1322 38553.8 1724.83
6800 448.729 34.5487 38553.8 1853.98
6900 462.081 31.8028 38553.8 2014.01
